
 num     #instances         #bytes  class name
----------------------------------------------
   1:         20550       14800664  [B
   2:        116966        7953792  [C
   3:        152598        4957192  [I
   4:         61331        4448504  [Ljava.lang.Object;
   5:        114741        2753784  java.lang.String
   6:        133712        2139392  game.core.util.AutoIncrementIntArray
   7:         56848        1819136  java.util.HashMap$Node
   8:         67845        1628280  java.util.ArrayList
   9:         11454        1284264  java.lang.Class
  10:         34027        1088864  java.util.concurrent.ConcurrentHashMap$Node
  11:         10921         961048  java.lang.reflect.Method
  12:         37652         602432  java.lang.Integer
  13:          3106         572840  [Ljava.util.HashMap$Node;
  14:          2749         439840  game.data.bean.Cfg_itemBean
  15:          4103         426712  org.apache.logging.log4j.core.impl.MutableLogEvent
  16:          1968         393600  game.data.bean.Cfg_EquipBean
  17:          7727         370896  java.util.HashMap
  18:            83         329056  [Ljava.nio.channels.SelectionKey;
  19:          3723         297840  java.lang.reflect.Constructor
  20:         17852         285632  java.lang.Object
  21:            76         273504  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  22:          8313         199512  game.data.bean.Cfg_offstringBean
  23:          1004         184736  game.data.bean.Cfg_monsterBean
  24:           652         146048  game.data.bean.Cfg_GrouDropBean
  25:          1397         145288  game.data.bean.Cfg_skillBean
  26:          7434         142496  [Ljava.lang.Class;
  27:          1951         140472  org.apache.ibatis.mapping.ResultMapping
  28:          5654         135696  java.util.Collections$UnmodifiableRandomAccessList
  29:          4098         131136  org.apache.logging.log4j.util.SortedArrayStringMap
  30:           780         131040  game.data.bean.Cfg_task_dailyBean
  31:          3000         120000  java.lang.ref.SoftReference
  32:          4973         119352  org.apache.ibatis.reflection.invoker.MethodInvoker
  33:          3584         114688  com.game.map.structs.ByteMapItem
  34:          1338         105104  [Ljava.lang.String;
  35:          1363         100832  [Ljava.util.Hashtable$Entry;
  36:          4134          99216  java.lang.StringBuilder
  37:          4096          98304  org.apache.logging.log4j.core.async.AsyncLoggerConfigDisruptor$Log4jEventWrapper
  38:           576          92160  game.data.bean.Cfg_gift_addBean
  39:           160          90880  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  40:          3772          90528  com.game.structs.Vector3
  41:          2662          85184  java.util.Vector
  42:            91          81240  [[B
  43:           998          79840  game.data.bean.Cfg_skillLevelBean
  44:          1107          79704  sun.reflect.DelegatingClassLoader
  45:           935          67320  game.data.bean.Cfg_cardBean
  46:          2074          66368  game.core.dblog.base.MetaData
  47:          4091          65456  java.util.HashSet
  48:          1004          64256  io.netty.buffer.PoolSubpage
  49:          1335          64080  java.util.Hashtable
  50:          1897          60704  java.util.Hashtable$Entry
  51:          1345          53800  java.security.ProtectionDomain
  52:            78          51168  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
  53:           652          46944  java.lang.reflect.Field
  54:           191          45840  game.data.bean.Cfg_droptableBean
  55:           600          43200  game.data.bean.Cfg_jjcrobotBean
  56:          1344          43008  java.security.CodeSource
  57:          1015          40600  java.util.LinkedHashMap$Entry
  58:           354          39648  game.data.bean.Cfg_task_conquerBean
  59:           942          37680  java.util.TreeMap$Entry
  60:           939          37560  game.data.bean.Cfg_clone_monsterBean
  61:          1550          37200  sun.reflect.NativeConstructorAccessorImpl
  62:           915          36600  org.apache.logging.log4j.core.Logger$PrivateConfig
  63:           351          33696  org.apache.ibatis.mapping.MappedStatement
  64:           259          33152  com.game.skill.config.event.FindTargetHitEvent
  65:           572          32032  java.lang.Package
  66:           496          31744  com.mysql.jdbc.ConnectionPropertiesImpl$BooleanConnectionProperty
